sample,feature,criterion,selected_n_breaks,segment,start,end,n_months,mean_monthly,vol_monthly,ann_mean_approx,ann_vol_approx,min_monthly,max_monthly
is_2015_2019,market_vol_3m,lwz_like,2,2,2016-01-31,2018-09-30,33,0.060476499262187663,0.0318062999107587,0.7257179911462519,0.11018025489241502,0.013565206287028135,0.137043681202701
is_2015_2019,market_vol_3m,lwz_like,2,3,2018-10-31,2019-12-31,15,0.13842864688796735,0.08281449434154067,1.6611437626556083,0.28687782360534747,0.025471353086725046,0.24366222739592613
is_2015_2019,market_vol_6m,bic,2,1,2015-07-31,2016-05-31,11,0.13375714575487596,0.03231874482000751,1.6050857490585115,0.11195541613021295,0.09680938958422834,0.17192449527714795
is_2015_2019,market_vol_6m,bic,2,2,2016-06-30,2018-09-30,28,0.06514138173082444,0.022892654767236828,0.7816965807698932,0.0793024823539761,0.02521831399448477,0.09807949309279328
is_2015_2019,market_vol_6m,bic,2,3,2018-10-31,2019-12-31,15,0.15315024716941406,0.034561901689284004,1.8378029660329687,0.119725939464081,0.0630127810781962,0.19012593496594246
is_2015_2019,market_vol_6m,lwz_like,2,1,2015-07-31,2016-05-31,11,0.13375714575487596,0.03231874482000751,1.6050857490585115,0.11195541613021295,0.09680938958422834,0.17192449527714795
is_2015_2019,market_vol_6m,lwz_like,2,2,2016-06-30,2018-09-30,28,0.06514138173082444,0.022892654767236828,0.7816965807698932,0.0793024823539761,0.02521831399448477,0.09807949309279328
is_2015_2019,market_vol_6m,lwz_like,2,3,2018-10-31,2019-12-31,15,0.15315024716941406,0.034561901689284004,1.8378029660329687,0.119725939464081,0.0630127810781962,0.19012593496594246
is_2015_2019,momentum_factor_r,bic,0,1,2015-07-31,2019-12-31,54,0.0018392482164324472,0.025395248734503797,0.022070978597189365,0.08797172215801961,-0.04716403450000972,0.07584481364189877
is_2015_2019,momentum_factor_r,lwz_like,0,1,2015-07-31,2019-12-31,54,0.0018392482164324472,0.025395248734503797,0.022070978597189365,0.08797172215801961,-0.04716403450000972,0.07584481364189877
is_2015_2019,momentum_factor_trailing_3m,bic,2,1,2015-07-31,2016-01-31,7,0.03780837217794294,0.040551585679371754,0.45370046613531523,0.14047481344830873,-0.0056219362898850544,0.10727216925533067
is_2015_2019,momentum_factor_trailing_3m,bic,2,2,2016-02-29,2017-04-30,15,-0.024278709377490437,0.031643396072449155,-0.29134451252988525,0.10961593944301479,-0.0959926404895366,0.02550710138616874
is_2015_2019,momentum_factor_trailing_3m,bic,2,3,2017-05-31,2019-12-31,32,0.01638679219356936,0.030929917063938623,0.1966415063228323,0.10714437565726657,-0.07876272394092143,0.08013759986996494
is_2015_2019,momentum_factor_trailing_3m,lwz_like,2,1,2015-07-31,2016-01-31,7,0.03780837217794294,0.040551585679371754,0.45370046613531523,0.14047481344830873,-0.0056219362898850544,0.10727216925533067
is_2015_2019,momentum_factor_trailing_3m,lwz_like,2,2,2016-02-29,2017-04-30,15,-0.024278709377490437,0.031643396072449155,-0.29134451252988525,0.10961593944301479,-0.0959926404895366,0.02550710138616874
is_2015_2019,momentum_factor_trailing_3m,lwz_like,2,3,2017-05-31,2019-12-31,32,0.01638679219356936,0.030929917063938623,0.1966415063228323,0.10714437565726657,-0.07876272394092143,0.08013759986996494
is_2015_2019,momentum_factor_trailing_6m,bic,2,1,2015-07-31,2016-02-29,8,0.05497402250594341,0.0284695448880741,0.6596882700713209,0.09862139642901428,0.010606212375579682,0.10104715566421452
is_2015_2019,momentum_factor_trailing_6m,bic,2,2,2016-03-31,2017-04-30,14,-0.047021475475396875,0.022760926653991976,-0.5642577057047625,0.07884616278412557,-0.07528313143291532,-0.010651467542133086
is_2015_2019,momentum_factor_trailing_6m,bic,2,3,2017-05-31,2019-12-31,32,0.03514634489248186,0.03735667852696501,0.42175613870978235,0.12940733042144137,-0.02092029991037292,0.1549285531845821
is_2015_2019,momentum_factor_trailing_6m,lwz_like,2,1,2015-07-31,2016-02-29,8,0.05497402250594341,0.0284695448880741,0.6596882700713209,0.09862139642901428,0.010606212375579682,0.10104715566421452
is_2015_2019,momentum_factor_trailing_6m,lwz_like,2,2,2016-03-31,2017-04-30,14,-0.047021475475396875,0.022760926653991976,-0.5642577057047625,0.07884616278412557,-0.07528313143291532,-0.010651467542133086
is_2015_2019,momentum_factor_trailing_6m,lwz_like,2,3,2017-05-31,2019-12-31,32,0.03514634489248186,0.03735667852696501,0.42175613870978235,0.12940733042144137,-0.02092029991037292,0.1549285531845821
is_2015_2019,momentum_factor_vol_3m,bic,2,1,2015-07-31,2016-08-31,14,0.09402300935171014,0.04182040584948134,1.1282761122205216,0.1448701354489047,0.023663882515732843,0.15304513177464732
